Network_Lines,src_X,src_Y,dst_X,dst_Y,Total_cap,transmission_path_name,,Existing_Transmission_Cap_MW
1,225541.6196,642054.6262,245541.6196,582054.6262,700,off_north_to_Groningen,,700
2,245541.6196,582054.6262,182052.6312,566665.6775,3950,Groningen_to_Fryslan,,3950
3,245541.6196,582054.6262,237925.1382,542385.9593,3950,Groningen_to_Drenthe,,3950
4,245541.6196,582054.6262,226774.1253,495704.0087,240,Groningen_to_Overijssel,,240
5,237925.1382,542385.9593,226774.1253,495704.0087,240,Drenthe_to_Overijssel,,240
6,182052.6312,566665.6775,163629.7069,506944.8888,1500,Fryslan_to_Flevoland,,1500
7,163629.7069,506944.8888,226774.1253,495704.0087,1500,Overijssel_to_Flevoland,,1500
8,226774.1253,495704.0087,245541.6196,582054.6262,3950,Overijssel_to_Gelderland,,3950
9,192803.9909,452742.7908,193153.3979,357764.9717,3950,Gelderland_to_Limburg,,3950
10,193153.3979,357764.9717,140981.3984,396993.0143,3950,Noord-Brabant_to_Limburg,,3950
11,47532.43651,387102.576,140981.3984,396993.0143,3950,Noord-Brabant_to_Zeeland,,3950
12,92752.0903,439124.0957,140981.3984,396993.0143,3950,Zuid_Holland_to_Noord-Brabant,,3950
13,47532.43651,387102.576,92752.0903,439124.0957,3950,Zeeland_to_Zuid_holland,,3950
14,92752.0903,439124.0957,140375.2042,456504.062,3950,Zuid_Holland_to_Utrecht,,3950
15,92752.0903,439124.0957,123264.9198,512620.0208,3950,Zuid_Holland_to_Noord_Holland,,3950
16,123264.9198,512620.0208,140375.2042,456504.062,3950,Noord_Hooland_Utrecht,,3950
17,123264.9198,512620.0208,163629.7069,506944.8888,1500,Noord_hholland_to_Flevoland,,1500
18,73264.91981,489124.0957,47532.43651,387102.576,700,off_west_to_Zeeland,,700
19,73264.91981,489124.0957,92752.0903,439124.0957,700,off_west_to_Zuid_Holland,,700
20,73264.91981,489124.0957,140375.2042,456504.062,240,off_west_to_Utrecht,,240
21,73264.91981,489124.0957,123264.9198,512620.0208,240,off_west_to_Noord_Holland,,240
22,73264.91981,489124.0957,225541.6196,642054.6262,0,off_west_to_off_north,,0