Resource,r_id,Zone,Gen_type,Stor_type,Existing_cap,Existing_cap_MWh,Existing_charge_cap_MW,New_build,Max_cap_MW,Max_cap_MWh,Max_charge_cap_MW,Min_cap,Min_cap_MWh,Min_charge_cap_MW,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Inv_cost_charge_per_MWyr,FOM_cost_per_MWyr,FOM_cost_per_MWhyr,FOM_cost_charge_per_MWyr,VOM_cost_MWh,VOM_cost_MWh_Charge,Heat_Rate_MMBTU_per_yr,Fuel,Min_op_level,Max_op_level,Start_cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_time,Down_time,Ramp_up,Ramp_dn,etta_self_dis,etta_cha,etta_dis,land_use
Gas_Turbine_1,1,1,1,0,43,0,0,1,700,0,0,0,0,0,200,0,0,40,0,0,2,0,200,ng,0.1,1,700,1.2,12,21,0.3,0.3,0,0,0,20
PV_1,2,1,2,0,3,0,0,1,600,0,0,0,0,0,100,0,0,40,0,0,2,0,0,none,0,1,0,0,0,0,1,1,0,0,0,30
Wind_1,3,1,2,0,5,0,0,1,1000,0,0,0,0,0,3000,0,0,50,0,0,3,0,0,none,0,1,0,0,0,0,1,1,0,0,0,40
Battery_1,4,1,0,1,0,200,50,1,4000,-1,-1,0,0,0,0,200,80,0,2,4,0,0,0,none,0,1,0,0,0,0,1,1,0.02,1,1,10
Coal_pp_1,5,1,1,0,100,0,0,1,20,0,0,0,0,0,200,0,0,45,0,0,2,0,300,coal,0.2,1,1000,3.6,10,12,0.3,0.3,0,0,0,50
Biomass_1,6,1,1,0,0,0,0,1,200,0,0,0,0,0,300,0,0,65,0,0,2,0,100,biomass,0.1,1,200,5,5,5,0.4,0.4,0,0,0,20
Gas_Turbine_2,7,2,1,0,67,0,0,1,700,0,0,0,0,0,200,0,0,76,0,0,2,0,200,ng,0.1,1,700,1.2,12,21,0.3,0.3,0,0,0,20
PV_2,8,2,2,0,5,0,0,1,600,0,0,0,0,0,100,0,0,49,0,0,3,0,0,none,0,1,0,0,0,0,1,1,0,0,0,30
Wind_2,9,2,2,0,2,0,0,1,1000,0,0,0,0,0,3000,0,0,94,0,0,4,0,0,none,0,1,0,0,0,0,1,1,0,0,0,40
Battery_2,10,2,0,1,3,100,50,1,4000,-1,-1,0,0,0,0,200,80,0,2,4,0,0,0,none,0,1,0,0,0,0,1,1,0.02,1,1,10
Hydro_2,11,2,3,0,80,0,0,0,80,0,0,0,0,0,4000,0,0,90,0,0,2,0,0,none,0,1,0,0,0,0,1,1,0,0,0,0
Gas_Turbine_3,12,3,1,0,45,0,0,1,700,0,0,0,0,0,200,0,0,9,0,0,3,0,200,ng,0.1,1,700,1.2,12,21,0.3,0.3,0,0,0,20
PV_3,13,3,2,0,5,0,0,1,600,0,0,0,0,0,100,0,0,93,0,0,4,0,0,none,0,1,0,0,0,0,1,1,0,0,0,30
Wind_3,14,3,2,0,76,0,0,1,1000,0,0,0,0,0,3000,0,0,50,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,40
Battery_3,15,3,0,1,7,0,0,1,4000,-1,-1,0,0,0,0,200,80,0,2,4,0,0,0,none,0,1,0,0,0,0,1,1,0.02,1,1,10
Biomass_3,16,3,2,0,0,0,0,1,200,0,0,0,0,0,200,0,0,50,0,0,2,0,100,biomass,0.1,1,200,5,5,5,0.4,0.4,0,0,0,20